title,artist,genre,demo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Khairiyat,Pritam,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",https://p.scdn.co/mp3-preview/c7ad550a86eba70607b6e6c491a7360a33deb5c4?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.534,0.481,0.0,-9.016,0.0,0.0412,0.697,0.0,0.142,0.293,124.914,5O932cZmzOZGOGZz9RHx20,spotify:track:5O932cZmzOZGOGZz9RHx20,https://api.spotify.com/v1/tracks/5O932cZmzOZGOGZz9RHx20,https://api.spotify.com/v1/audio-analysis/5O932cZmzOZGOGZz9RHx20,280282.0,4.0
"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/b34ba687b2d72a78ca61eb012f2ee7ed26315612?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.515,0.691,5.0,-4.028,0.0,0.0344,0.624,0.0,0.121,0.484,169.521,5QVHNa0ppJUOoqSd36ovQS,spotify:track:5QVHNa0ppJUOoqSd36ovQS,https://api.spotify.com/v1/tracks/5QVHNa0ppJUOoqSd36ovQS,https://api.spotify.com/v1/audio-analysis/5QVHNa0ppJUOoqSd36ovQS,226789.0,3.0
Proper Patola,Mannan Shaah,[],https://p.scdn.co/mp3-preview/307fd0d9571e2686608b5bb44b32e4b7a6820fdd?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.77,0.824,1.0,-6.491,0.0,0.0851,0.485,0.0,0.318,0.49,172.006,39ujbBjTwwqUFySaCYDMMT,spotify:track:39ujbBjTwwqUFySaCYDMMT,https://api.spotify.com/v1/tracks/39ujbBjTwwqUFySaCYDMMT,https://api.spotify.com/v1/audio-analysis/39ujbBjTwwqUFySaCYDMMT,178605.0,4.0
Vaaste,Dhvani Bhanushali,"['desi pop', 'modern bollywood']",https://p.scdn.co/mp3-preview/93546fec8465d4f434f15df9ee1bf22fd7fd0094?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.444,0.479,5.0,-5.586,1.0,0.0436,0.454,0.0,0.095,0.315,89.892,0mJTAdmY8olbGQjopDYff3,spotify:track:0mJTAdmY8olbGQjopDYff3,https://api.spotify.com/v1/tracks/0mJTAdmY8olbGQjopDYff3,https://api.spotify.com/v1/audio-analysis/0mJTAdmY8olbGQjopDYff3,196044.0,4.0
Dil Diyan Gallan,Vishal-Shekhar,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/5849379858153b8d6c38d2f9a97b374fd34d4af7?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.716,0.64,2.0,-8.726,1.0,0.025,0.565,0.00139,0.127,0.485,105.012,5MnAi6ZF7cE8pAz7wYr9Ta,spotify:track:5MnAi6ZF7cE8pAz7wYr9Ta,https://api.spotify.com/v1/tracks/5MnAi6ZF7cE8pAz7wYr9Ta,https://api.spotify.com/v1/audio-analysis/5MnAi6ZF7cE8pAz7wYr9Ta,260537.0,4.0
"O Saki Saki (From ""Batla House"")",Various Artists,[],https://p.scdn.co/mp3-preview/8ab41d89ec586aede97348a1c813d3703c412c3c?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.737,0.961,10.0,-0.155,0.0,0.0747,0.163,0.0,0.361,0.567,108.014,4cFwhwH5ydnHgB0Tv3lZsm,spotify:track:4cFwhwH5ydnHgB0Tv3lZsm,https://api.spotify.com/v1/tracks/4cFwhwH5ydnHgB0Tv3lZsm,https://api.spotify.com/v1/audio-analysis/4cFwhwH5ydnHgB0Tv3lZsm,191089.0,4.0
Baari,Bilal Saeed,"['desi hip hop', 'desi pop', 'pakistani pop', 'punjabi pop']",https://p.scdn.co/mp3-preview/1fd7a5f63d5e08f9588ad336b595620e5a70f854?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.658,0.539,3.0,-7.043,1.0,0.0433,0.857,1.45e-06,0.0999,0.461,80.088,0HTb4JfMtMkMYUtyd19In3,spotify:track:0HTb4JfMtMkMYUtyd19In3,https://api.spotify.com/v1/tracks/0HTb4JfMtMkMYUtyd19In3,https://api.spotify.com/v1/audio-analysis/0HTb4JfMtMkMYUtyd19In3,235297.0,4.0
"Agar Tum Saath Ho (From ""Tamasha"")",Arijit Singh,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/d7220a8d47f511524630165c415479fefbeeec69?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.562,0.519,3.0,-8.744,1.0,0.0326,0.557,0.000268,0.172,0.415,122.925,2FCXQHugkoHE1K3tiDu8pu,spotify:track:2FCXQHugkoHE1K3tiDu8pu,https://api.spotify.com/v1/tracks/2FCXQHugkoHE1K3tiDu8pu,https://api.spotify.com/v1/audio-analysis/2FCXQHugkoHE1K3tiDu8pu,341055.0,4.0
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/2382217fbb54c2f8418b2a259551d554864038e6?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.844,0.772,7.0,-4.621,1.0,0.194,0.284,2.38e-06,0.368,0.336,100.008,7IAJzec1UxGYmNvbPTHbxx,spotify:track:7IAJzec1UxGYmNvbPTHbxx,https://api.spotify.com/v1/tracks/7IAJzec1UxGYmNvbPTHbxx,https://api.spotify.com/v1/audio-analysis/7IAJzec1UxGYmNvbPTHbxx,147395.0,4.0
Ik Mulaqaat,Meet Bros.,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/a05ece4ae0e0e284d138b76d79211d40fcaf32c5?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.634,0.648,3.0,-6.781,0.0,0.0412,0.361,0.0,0.619,0.667,95.989,17uI7afUaul1hCzMTF9txd,spotify:track:17uI7afUaul1hCzMTF9txd,https://api.spotify.com/v1/tracks/17uI7afUaul1hCzMTF9txd,https://api.spotify.com/v1/audio-analysis/17uI7afUaul1hCzMTF9txd,247812.0,4.0
"Chale Aana (From ""De De Pyaar De"")",Amaal Mallik,"['desi pop', 'modern bollywood']",https://p.scdn.co/mp3-preview/1d8c3a4f1cdb7253778e7fa7e76058a28599f725?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.368,0.587,6.0,-6.676,0.0,0.0378,0.309,0.0,0.149,0.391,143.687,6vuMdb0E8buJeSHArN3dXk,spotify:track:6vuMdb0E8buJeSHArN3dXk,https://api.spotify.com/v1/tracks/6vuMdb0E8buJeSHArN3dXk,https://api.spotify.com/v1/audio-analysis/6vuMdb0E8buJeSHArN3dXk,271023.0,4.0
Jatt Hunde Aa,Prem Dhillon,"['desi hip hop', 'desi pop', 'punjabi pop']",https://p.scdn.co/mp3-preview/91f8ecebb8c9e6d4026598cae01646307c794114?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.732,0.782,4.0,-6.641,0.0,0.254,0.0935,0.0,0.148,0.847,167.965,3ambDk5Lyk0VPg8NaCpvg0,spotify:track:3ambDk5Lyk0VPg8NaCpvg0,https://api.spotify.com/v1/tracks/3ambDk5Lyk0VPg8NaCpvg0,https://api.spotify.com/v1/audio-analysis/3ambDk5Lyk0VPg8NaCpvg0,178571.0,4.0
Naagin,Various Artists,[],https://p.scdn.co/mp3-preview/8dd11fc2797e99f7cac449e0e93bc0ff6582ff97?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.807,0.5,9.0,-10.361,1.0,0.0581,0.0335,8.73e-06,0.0967,0.243,97.09,7gAyu0od48mkaCw1laPKVC,spotify:track:7gAyu0od48mkaCw1laPKVC,https://api.spotify.com/v1/tracks/7gAyu0od48mkaCw1laPKVC,https://api.spotify.com/v1/audio-analysis/7gAyu0od48mkaCw1laPKVC,157000.0,4.0
